pxcor,pycor,Latitude,CrownShape,CrownTransmissibility,Radiation
"-199",95,52.217,Disk,5,0
"-199",82,52.217,Disk,5,0
"-199",12,52.217,Disk,5,0
"-199",61,52.217,Disk,5,0
"-199",-37,52.217,Disk,5,0
"-199",-186,52.217,Disk,5,0
"-199",62,52.217,Disk,5,0
"-199",-140,52.217,Disk,5,0
"-199",-141,52.217,Disk,5,0
"-199",-12,52.217,Disk,5,0
"-199",-181,52.217,Disk,5,0
"-199",124,52.217,Disk,5,0
"-199",143,52.217,Disk,5,0
"-199",185,52.217,Disk,5,0
"-199",168,52.217,Disk,5,0
"-199",-31,52.217,Disk,5,0
"-199",56,52.217,Disk,5,0
"-199",-57,52.217,Disk,5,0
"-199",-161,52.217,Disk,5,0
"-199",160,52.217,Disk,5,0
"-199",-149,52.217,Disk,5,0
"-199",-89,52.217,Disk,5,0
"-199",-68,52.217,Disk,5,0
"-199",-130,52.217,Disk,5,0
"-199",135,52.217,Disk,5,0
"-199",-118,52.217,Disk,5,0
"-199",144,52.217,Disk,5,0
"-199",-134,52.217,Disk,5,0
"-199",116,52.217,Disk,5,0
"-199",166,52.217,Disk,5,0
"-199",180,52.217,Disk,5,0
